cell_type_1,cell_type_2,effect_size,p_value,mean_I_infected,mean_I_uninfected,delta_I,p_adj_fdr,significant,neg_log10_padj
CD8-Tcell_Gamma-Delta-Il4,Mast-Cell,0.13945104396030938,0.0,0.13945104396030938,0.1081887091459387,0.031262334814370685,0.0,True,300.0
CD8-Tcell_effector,NK_ILC3,0.1370816445875072,0.0,0.1370816445875072,0.2919924892459275,-0.1549108446584203,0.0,True,300.0
CD8-Tcell_Gamma-Delta-Il4,Erythrocyte_precursor,0.13551940778941535,0.0,0.13551940778941535,-0.09522183885330006,0.2307412466427154,0.0,True,300.0
CD4-Tcell_Treg,CD8-Tcell_Gamma-Delta-CD8,0.1352878104636266,0.0,0.1352878104636266,0.4523636884996797,-0.3170758780360531,0.0,True,300.0
CD8-Tcell_Gamma-Delta-CD8,CD8-Tcell_naive,0.13471705470057788,0.0,0.13471705470057788,0.4716837780734414,-0.33696672337286354,0.0,True,300.0
CD8-Tcell_Gamma-Delta-CD8,CD8-Tcell_early-active,0.13421895119019264,0.0,0.13421895119019264,0.4656693740325706,-0.3314504228423779,0.0,True,300.0
CD8-Tcell_early-active,Fibroblast_piezo2,-0.13387355170092397,0.0,-0.13387355170092397,0.004479690304916101,-0.13835324200584007,0.0,True,300.0
CD8-Tcell_Gamma-Delta-active,Myeloid_Macrophage-CXCL9/10,0.13156312861236233,0.0,0.13156312861236233,0.2559905271709662,-0.12442739855860388,0.0,True,300.0
CD8-Tcell_Gamma-Delta-CD8,Myeloid_Macrophage-CXCL9/10,0.13072268981880975,0.0,0.13072268981880975,0.2569561396271326,-0.12623344980832285,0.0,True,300.0
CD8-Tcell_late-active,Fibroblast_piezo2,0.12999687679275496,0.0,0.12999687679275496,0.08303803716380796,0.046958839628946994,0.0,True,300.0
CD4-Tcell_FH,CD8-Tcell_late-active,-0.1277057896120516,0.0,-0.1277057896120516,0.4008907305113443,-0.5285965201233959,0.0,True,300.0
Bcell_B1,CD8-Tcell_terminal,0.1275861258622007,0.0,0.1275861258622007,0.19704489660318658,-0.06945877074098589,0.0,True,300.0
CD8-Tcell_early-active,CD8-Tcell_effector,-0.12490512384286198,0.0,-0.12490512384286198,0.1434453692602875,-0.2683504931031495,0.0,True,300.0
CD8-Tcell_naive,Myeloid_moDC,-0.12215512001403736,0.0,-0.12215512001403736,-0.013632362010346837,-0.10852275800369052,0.0,True,300.0
CD8-Tcell_Gamma-Delta-active,Fibroblast_piezo2,0.12134816500566797,0.0,0.12134816500566797,0.16066817579964623,-0.03932001079397826,0.0,True,300.0
CD8-Tcell_terminal,Fibroblast_piezo2,-0.12112240079953562,0.0,-0.12112240079953562,0.03313978125785688,-0.1542621820573925,0.0,True,300.0
CD8-Tcell_Gamma-Delta-CD8,Myeloid_cDC1,0.11859704320751546,0.0,0.11859704320751546,0.08041026946532452,0.03818677374219094,0.0,True,300.0
CD8-Tcell_effector,Myeloid_moDC-CXCL9/10,-0.11850854816712753,0.0,-0.11850854816712753,0.14844363587372084,-0.26695218404084836,0.0,True,300.0
CD8-Tcell_Gamma-Delta-Il4,CD8-Tcell_proliferating,-0.115181625854925,0.0,-0.115181625854925,0.20757591579608087,-0.3227575416510059,0.0,True,300.0
CD8-Tcell_Gamma-Delta-Il4,NK_proliferating,0.11403234598398668,0.0,0.11403234598398668,0.14221939640373918,-0.028187050419752502,0.0,True,300.0
Bcell_GC,CD8-Tcell_early-active,0.11174763367502347,0.0,0.11174763367502347,0.17728742603455577,-0.0655397923595323,0.0,True,300.0
CD8-Tcell_Gamma-Delta-CD8,NK_proliferating,0.1036054099974123,0.0,0.1036054099974123,0.13330183556572547,-0.029696425568313173,0.0,True,300.0
CD8-Tcell_late-active,CD8-Tcell_proliferating,-0.10278634655842649,0.0,-0.10278634655842649,0.2502138738641983,-0.3530002204226248,0.0,True,300.0
CD8-Tcell_late-active,Myeloid_DC2,0.10257636621604853,0.0,0.10257636621604853,0.22093241205200437,-0.11835604583595584,0.0,True,300.0
CD8-Tcell_Gamma-Delta-active,Erythrocyte_precursor,0.10202553269417537,0.0,0.10202553269417537,0.1347113191523337,-0.032685786458158325,0.0,True,300.0
CD8-Tcell_naive,Myeloid_monocyte,-0.10151087952169191,0.0,-0.10151087952169191,-0.074205067794479,-0.027305811727212914,0.0,True,300.0
CD8-Tcell_Gamma-Delta-CD8,Hematopoeitic_stem_cell,0.1006498762474658,0.0,0.1006498762474658,-0.11656598577106923,0.21721586201853504,0.0,True,300.0
CD4-Tcell_naive,CD8-Tcell_late-active,0.09920763163071734,0.0,0.09920763163071734,0.37402533357362466,-0.27481770194290733,0.0,True,300.0
CD8-Tcell_effector,Myeloid_pDC,-0.09812117799157963,0.0,-0.09812117799157963,0.12647799792567294,-0.22459917591725256,0.0,True,300.0
CD4-Tcell_cytotoxic,CD8-Tcell_early-active,-0.09658375666670367,0.0,-0.09658375666670367,0.11708063274149834,-0.213664389408202,0.0,True,300.0
CD8-Tcell_Gamma-Delta-CD8,Fibroblast_piezo2,0.09658017362455576,0.0,0.09658017362455576,0.03384004133079081,0.06274013229376495,0.0,True,300.0
Bcell_memory,CD8-Tcell_early-active,0.09587765935233361,0.0,0.09587765935233361,0.12331157867316467,-0.027433919320831057,0.0,True,300.0
CD4-Tcell_naive,CD8-Tcell_proliferating,0.09024097562857336,0.0,0.09024097562857336,0.17591352315149153,-0.08567254752291817,0.0,True,300.0
CD8-Tcell_naive,Erythrocyte_precursor,-0.08950729138895264,0.0,-0.08950729138895264,-0.16756511236193594,0.0780578209729833,0.0,True,300.0
CD8-Tcell_Gamma-Delta-CD8,Erythrocyte_precursor,0.08807293555250625,0.0,0.08807293555250625,-0.11959460389983867,0.20766753945234492,0.0,True,300.0
Bcell_plasma,CD8-Tcell_Gamma-Delta-CD8,0.08166552590539046,0.0,0.08166552590539046,0.060379104401291336,0.021286421504099123,0.0,True,300.0
CD8-Tcell_Gamma-Delta-CD8,Myeloid_DC2,0.08098725992637797,0.0,0.08098725992637797,0.22245937313048575,-0.1414721132041078,0.0,True,300.0
CD4-Tcell_TH1,CD8-Tcell_terminal,-0.08054629275717014,0.0,-0.08054629275717014,0.3225548125945456,-0.4031011053517157,0.0,True,300.0
Bcell_memory,CD8-Tcell_Gamma-Delta-active,-0.07764587894648092,0.0,-0.07764587894648092,0.16404886582145123,-0.24169474476793215,0.0,True,300.0
CD4-Tcell_TH17,CD8-Tcell_early-active,0.07637976940417945,0.0,0.07637976940417945,0.4111674855456181,-0.33478771614143865,0.0,True,300.0
Bcell_plasma,CD8-Tcell_Gamma-Delta-active,0.07629975347829218,0.0,0.07629975347829218,0.1659394574544255,-0.08963970397613333,0.0,True,300.0
CD4-Tcell_TH1,CD8-Tcell_proliferating,-0.0757923355642337,0.0,-0.0757923355642337,0.2669098255341936,-0.3427021610984273,0.0,True,300.0
Bcell_early,CD8-Tcell_late-active,-0.07534848483845538,0.0,-0.07534848483845538,0.21892525607984337,-0.2942737409182987,0.0,True,300.0
Bcell_naive,CD8-Tcell_early-active,0.07189042368709525,0.0,0.07189042368709525,0.17359233576470073,-0.10170191207760548,0.0,True,300.0
CD8-Tcell_terminal,Neutrophil,-0.07142277301356245,0.0,-0.07142277301356245,0.031256216727629446,-0.1026789897411919,0.0,True,300.0
CD8-Tcell_effector,CD8-Tcell_naive,-0.06782208433468859,0.0,-0.06782208433468859,0.16207014629171018,-0.22989223062639877,0.0,True,300.0
CD8-Tcell_Gamma-Delta-CD8,Myeloid_pDC,0.06762325060284188,0.0,0.06762325060284188,0.3192592812925571,-0.2516360306897152,0.0,True,300.0
Bcell_B1,CD8-Tcell_early-active,0.06261469331723946,0.0,0.06261469331723946,0.14695884331538872,-0.08434414999814926,0.0,True,300.0
Bcell_B1,CD8-Tcell_naive,-0.0623093229932624,0.0,-0.0623093229932624,0.13237043038106316,-0.19467975337432558,0.0,True,300.0
CD8-Tcell_naive,Myeloid_moDC-CXCL9/10,-0.06114253155341974,0.0,-0.06114253155341974,0.23211934554497007,-0.2932618770983898,0.0,True,300.0
CD4-Tcell_FH,CD8-Tcell_Gamma-Delta-CD8,0.05918162061023485,0.0,0.05918162061023485,0.4734432405937843,-0.41426161998354943,0.0,True,300.0
Bcell_B1,CD8-Tcell_Gamma-Delta-active,-0.05896125896017154,0.0,-0.05896125896017154,0.12873500948938776,-0.1876962684495593,0.0,True,300.0
CD4-Tcell_cytotoxic,CD8-Tcell_naive,-0.05746147855485774,0.0,-0.05746147855485774,0.12124738697260234,-0.17870886552746007,0.0,True,300.0
CD8-Tcell_Gamma-Delta-active,CD8-Tcell_terminal,-0.056107811150994794,0.0,-0.056107811150994794,0.3044041680415891,-0.3605119791925839,0.0,True,300.0
CD8-Tcell_proliferating,NK_proliferating,0.054604090997191324,0.0,0.054604090997191324,0.32437449078185787,-0.26977039978466655,0.0,True,300.0
CD4-Tcell_TH17,CD8-Tcell_terminal,0.05397909675301749,0.0,0.05397909675301749,0.4238785704163179,-0.3698994736633004,0.0,True,300.0
CD4-Tcell_TH17,CD8-Tcell_naive,0.05189284003195066,0.0,0.05189284003195066,0.41288934159938684,-0.3609965015674362,0.0,True,300.0
CD8-Tcell_proliferating,Mast-Cell,-0.05004804581461941,0.0,-0.05004804581461941,0.2466931918462068,-0.2967412376608262,0.0,True,300.0
Bcell_memory,CD8-Tcell_Gamma-Delta-Il4,-0.04991917977277021,0.0,-0.04991917977277021,0.2047898716461655,-0.2547090514189357,0.0,True,300.0
CD8-Tcell_early-active,NK_proliferating,-0.04895916216278874,0.0,-0.04895916216278874,0.05030072501471898,-0.09925988717750772,0.0,True,300.0
CD8-Tcell_Gamma-Delta-Il4,CD8-Tcell_naive,-0.04622077854116572,0.0,-0.04622077854116572,0.41752365853035,-0.46374443707151575,0.0,True,300.0
CD4-Tcell_TH1,CD8-Tcell_naive,-0.044448821566257235,0.0,-0.044448821566257235,0.27011718842366683,-0.31456600998992407,0.0,True,300.0
